iter	Passed	Remaining
0	1	139
1	3	152
2	4	134
3	5	132
4	6	126
5	7	119
6	8	114
7	9	109
8	10	105
9	11	101
10	12	97
11	13	97
12	14	94
13	14	91
14	15	89
15	16	86
16	17	84
17	18	82
18	18	80
19	20	80
20	20	78
21	21	77
22	22	75
23	23	73
24	23	71
25	24	70
26	25	68
27	26	67
28	27	66
29	27	64
30	28	63
31	29	62
32	29	60
33	30	59
34	31	58
35	32	57
36	32	55
37	34	55
38	34	54
39	35	53
40	36	52
41	37	51
42	38	50
43	38	49
44	39	48
45	40	47
46	41	46
47	41	45
48	42	44
49	43	43
50	44	42
51	44	41
52	45	40
53	46	39
54	47	38
55	48	37
56	48	36
57	49	36
58	51	35
59	51	34
60	52	33
61	53	32
62	53	31
63	55	31
64	55	30
65	56	29
66	57	28
67	58	27
68	58	26
69	59	25
70	60	24
71	61	23
72	61	22
73	62	21
74	63	21
75	64	20
76	64	19
77	65	18
78	66	17
79	67	16
80	68	16
81	69	15
82	70	14
83	71	13
84	72	12
85	72	11
86	73	10
87	74	10
88	74	9
89	75	8
90	76	7
91	77	6
92	78	5
93	78	5
94	79	4
95	80	3
96	81	2
97	82	1
98	83	0
99	83	0
